﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5j1yPqTWKLcXtW2uWeB0HJ","Sede Pra Te Ver","KVSH, Breno Rocha, Breno Miranda","Sede Pra Te Ver","1","1","292380","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:2r0XjijD4aGuDSq0KliLKq","Wild Kidz","Vintage Culture, RICCI","Wild Kidz","1","1","186885","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:6WK9dVrRABMkUXFLNlgWFh","Enjoy the Silence","Depeche Mode","The Singles 86-98","1","8","255133","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:1c4Tk1qiU8YaPuMnHFu93r","One Day in the Sun - Vintage Culture Remix","Final Djs, Stee Downes","One Day in the Sun (feat. Stee Downes) [Remixes Part 2]","1","1","403549","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:7574YJ6cXSQjQmKT0DGSe1","Work It Out","Elekfantz","Work It Out","1","1","232600","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:1rv2UTauAhlx8aeZK6AsCk","Night Workers","Vintage Culture","Everyday's A G-Thing EP","1","3","440655","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:2WpnTDJXKFoFPKgEZeVRay","Lost in the Music","Vintage Culture","Rio Music Conference - Part 2","1","1","312195","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:4IsHMzDbRE8q5Z4ALsQj3o","Sky and Sand","Paul Kalkbrenner, Fritz Kalkbrenner","Berlin Calling (The Soundtrack by Paul Kalkbrenner)","1","3","230500","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:74VfO8eHb78SKjb3RGxVf3","Hold Your Pants - Original Mix","DJ Glen","NastyCutz","1","3","351895","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:6jwBkwXKN46rEBiaAbS2CM","Voices feat. Ellie Ka - Bruno Be & Zeppeliin Remix","Vintage Culture, Bruno Be, Zeppeliin, Earstrip & Torha","Voices Remixes, Pt. 1","1","2","442623","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:5DDNUljfxRODVVNnV7HakT","Do You Remember - Vintage Culture Remix","Vintage Culture, Joy Corporation","Hollywood","1","2","412000","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:4AUkdWDaQtpVDQUB2kQfhi","Solarianism - Vintage Culture Remix","Puka, Vintage Culture","Solarianism","1","3","384000","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:4uvSdy6Uee7UsnFqJrw9h2","Alright 2011 (feat. Marcus Schossow)","Red Carpet","Dance Mix USA Vol. 2 (Mixed by Louie Devito) [Continuous DJ Mix]","1","15","284320","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:63OFKbMaZSDZ4wtesuuq6f","Born To Be Wild","Steppenwolf","Steppenwolf","1","5","210373","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:5zWZ9iNevP0397xB3jWV2z","Brother Louie","Modern Talking","Ready For Romance","1","1","222666","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2aEuA8PSqLa17Y4hKPj5rr","Cheri Cheri Lady","Modern Talking","Let's Talk About Love","1","1","226333","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:20kruAYDWoxn7TIiYn21us","Radio Ga Ga - 2011 Mix","Queen","The Works (Deluxe Edition 2011 Remaster)","1","1","348226","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:3BZGi1yUqQyCNC868AqUGG","Big in Japan","Alphaville","Forever Young","1","3","286160","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1RSy7B2vfPi84N80QJ6frX","Blue Monday - 2016 Remaster","New Order","Singles (2016 Remaster)","1","5","450800","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6JNJERZGJwDVgkmbohBw7u","Self Control","Laura Branigan","Self Control","1","2","246440","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:4gMgiXfqyzZLMhsksGmbQV","Another Brick in the Wall, Pt. 2","Pink Floyd","The Wall","1","5","238746","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2muwe54QJFbUTB8yNI9tKm","Bete Balanço - Radio Edit","Paulo Soveral, Dazzo","Bete Balanço (Remixes)","1","1","152123","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:7vseIfb8ooQmXzisuinchZ","Infinity 2008","Guru Josh Project","SLAM!FM Presents Clubbin' Best of 2008/2009","1","9","190013","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:0VdwHBLCTSdrTJFIjWOsEC","World Hold On (Radio Edit) [Vintage Culture & Dubdogz Remix]","Bob Sinclar, Vintage Culture, Dubdogz, Steve Edwards","World Hold On (Radio Edit) [Vintage Culture & Dubdogz Remix]","1","1","172073","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1H5IfYyIIAlgDX8zguUzns","Suspicious Minds","Elvis Presley","From Elvis in Memphis","1","13","261279","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:41AE8ODX2JETBCa6muhSLY","Heart Of Glass","Blondie","Greatest Hits: Blondie","1","1","252186","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:0GjEhVFGZW8afUYGChu3Rr","Dancing Queen","ABBA","Arrival","1","2","230400","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:4EZz8Byhbjk0tOKFJlCgPB","Never Gonna Give You Up - 7" Mix","Rick Astley","80s 100 Hits","1","3","209893","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2FuJvdLfBf8eUmgtlz3Rb3","Cry for You - UK Radio Edit","September","Gold","1","1","164906","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6OylYIXrIH2E3hgg7Dqz5M","You'll Never Find Another Love Like Mine","Lou Rawls","All Things In Time","1","2","266200","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:3ovjw5HZZv43SxTwApooCM","Wind Of Change","Scorpions","Crazy World","1","4","312360","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:7tqhbajSfrz2F7E1Z75ASX","Ain't No Mountain High Enough","Marvin Gaye, Tammi Terrell","United","1","1","151666","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:58CVSbD0I65qaOKPz694LV","Highway To Hell - Radio Edit","Dian Solo","Highway To Hell","1","1","169180","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff","Call on Me - Radio Mix","Eric Prydz","Call on Me (Radio Mix)","1","1","171360","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:3zEN0ii6s4DHHBpnTp3RP7","We Are The People","Empire of the Sun","Walking On A Dream (10th Anniversary Edition)","1","4","267373","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6VHA8SStRZDX3XFGOxoUsj","Lookee's Theme - Radio Edit","Lookee","Lookee's Theme","1","2","185409","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6sYJuVcEu4gFHmeTLdHzRz","Bittersweet Symphony (feat. Emily Roberts)","GAMPER & DADONI, Emily Roberts","Bittersweet Symphony (feat. Emily Roberts)","1","1","194618","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:0kPeymTUiaidv48eRrMISu","Bette Davis Eyes","Kim Carnes","Bette Davis Eyes","1","1","224693","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:4LjfIjS8iweFCPdKxLnEoV","Let Me Think About It","Ida Corr, Fedde Le Grand","Singled Out","1","5","151983","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:7h7rAy1gzEI1gysgQLS6MT","No Eyes","Claptone, JAW","No Eyes","1","1","418350","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
